File,Class_GT,2x2,3x3,4x4,5x5
o1_gr_can,A,A,A,A,A
o1_gr_e01,B,B,B,B,B
o1_gr_e02,B,B,B,B,B
o1_gr_e03,B,B,B,B,B
o1_gr_e04,B,B,B,B,B
o1_gr_e05,B,B,B,B,B
o1_gr_e06,B,B,B,B,B
o1_gr_e07,B,B,B,B,B
o1_gr_e08,B,B,B,B,B
o1_gr_e09,B,B,B,B,B
o1_gr_e10,B,B,B,B,B
o1_gr_e11,B,B,B,B,B
o1_gr_e12,B,B,B,B,B
o2_gr_can,A,A,A,A,A
o2_gr_e01,C,C,D,C,D
o2_gr_e02,C,C,C,C,C
o2_gr_e03,D,D,D,D,D
o2_gr_e05,C,2,2,2,4
o2_gr_e06,C,C,C,C,C
o2_gr_e07,E,D,D,D,D
o2_gr_e09,C,B,B,B,B
o2_gr_e10,C,C,C,C,C
o2_gr_e11,D,D,D,D,D
o2_gr_e24,C,B,B,B,B
